freq(GHz)  ch1  ch2  ch3  ch4  ch5  ch6  ch7  ch8 
     11.3976021     -0.1383542      0.0041818      0.0000000      0.0000000      0.4196684      0.7949992     -0.1821314     -0.0550978
     11.4095898     -0.1266685      0.0074048      0.0000000      0.0000000      0.4229496      0.7948747     -0.1778656     -0.0475331
     11.4215784     -0.1597196     -0.0056687      0.0000000      0.0000000      0.3877295      0.7286835     -0.2181520     -0.0723216
     11.4335670     -0.1594478     -0.0056590      0.0000000      0.0000000      0.3870696      0.7274432     -0.2177807     -0.0721985
     11.4455547     -0.1384658     -0.0002702      0.0000000      0.0000000      0.3811898      0.7163929     -0.1910178     -0.0588645
     11.4575424     -0.1382596     -0.0002698      0.0000000      0.0000000      0.3806222      0.7153263     -0.1907333     -0.0587768
     11.4695301     -0.1366114      0.0009277      0.0000000      0.0000000      0.3858537      0.7128764     -0.1896999     -0.0618047
     11.4815187     -0.1498652      0.0021189      0.0000000      0.0000000      0.4342782      0.8023422     -0.2085917     -0.0668741
     11.4935064     -0.1496367      0.0021157      0.0000000      0.0000000      0.4336164      0.8011195     -0.2082737     -0.0667721
     11.5054951     -0.1372406     -0.0004718      0.0000000      0.0000000      0.3736225      0.6902789     -0.1899525     -0.0632708
     11.5174828     -0.1370242     -0.0004711      0.0000000      0.0000000      0.3730333      0.6891903     -0.1896529     -0.0631710
     11.5294704     -0.1368032     -0.0004703      0.0000000      0.0000000      0.3724314      0.6880784     -0.1893470     -0.0630691
     11.5414581     -0.1163912     -0.0021501      0.0000000      0.0000000      0.4103172      0.7405372     -0.1883626     -0.0636834
     11.5534468     -0.1161994     -0.0021465      0.0000000      0.0000000      0.4096411      0.7393169     -0.1880521     -0.0635784
     11.5654345     -0.1233024     -0.0036681      0.0000000      0.0000000      0.4194572      0.7570331     -0.1986227     -0.0684933
     11.5774231     -0.1231006     -0.0036622      0.0000000      0.0000000      0.4187704      0.7557935     -0.1982976     -0.0683812
     11.5894108     -0.1229012     -0.0036562      0.0000000      0.0000000      0.4180923      0.7545697     -0.1979765     -0.0682705
     11.6013985     -0.1160483      0.0076107      0.0000000      0.0000000      0.4003159      0.7700687     -0.1658774     -0.0363450
     11.6133862     -0.1158669      0.0075988      0.0000000      0.0000000      0.3996902      0.7688652     -0.1656181     -0.0362882
     11.6253748     -0.1235010      0.0084887      0.0000000      0.0000000      0.4297952      0.8267767     -0.1767041     -0.0383362
     11.6373625     -0.1233270      0.0084767      0.0000000      0.0000000      0.4291897      0.8256119     -0.1764551     -0.0382822
     11.6493511     -0.1231587      0.0084652      0.0000000      0.0000000      0.4286042      0.8244855     -0.1762144     -0.0382300
     11.6613388     -0.1399099      0.0197164      0.0000000      0.0000000      0.4412099      0.8321636     -0.1935182     -0.0502046
     11.6733265     -0.1397234      0.0196900      0.0000000      0.0000000      0.4406215      0.8310538     -0.1932603     -0.0501377
     11.6853142     -0.1417236      0.0152214      0.0000000      0.0000000      0.4040892      0.7621506     -0.1942536     -0.0547275
     11.6973028     -0.1415254      0.0152001      0.0000000      0.0000000      0.4035237      0.7610840     -0.1939819     -0.0546509
     11.7092905     -0.1413177      0.0151778      0.0000000      0.0000000      0.4029316      0.7599671     -0.1936972     -0.0545707
     11.7212791     -0.1316133      0.0131407      0.0000000      0.0000000      0.4494842      0.8301167     -0.1972214     -0.0568752
     11.7332668     -0.1314479      0.0131242      0.0000000      0.0000000      0.4489194      0.8290738     -0.1969735     -0.0568037
     11.7452545     -0.1258229      0.0146273      0.0000000      0.0000000      0.4493911      0.8299449     -0.1895395     -0.0528163
     11.7572422     -0.1256611      0.0146085      0.0000000      0.0000000      0.4488128      0.8288767     -0.1892956     -0.0527484
     11.7692308     -0.1254948      0.0145891      0.0000000      0.0000000      0.4482189      0.8277799     -0.1890452     -0.0526786
     11.7812185     -0.1210761      0.0109476      0.0000000      0.0000000      0.4026214      0.7435697     -0.1808816     -0.0531819
     11.7932072     -0.1269183      0.0094329      0.0000000      0.0000000      0.3950840      0.7323579     -0.1734108     -0.0562814
     11.8051949     -0.1377341      0.0072287      0.0000000      0.0000000      0.4000002      0.7414711     -0.1869429     -0.0633454
     11.8171825     -0.1375289      0.0072179      0.0000000      0.0000000      0.3994043      0.7403663     -0.1866644     -0.0632510
